State,Rank,School,Students,School URL,Computer Science URL,First class in CS program,Class found URL,Language used,Language found URL,CS phone ,CS email,Answer through call,Answer through email
Massachusetts,1,University of Massachusetts-Amherst,"22,252",http://www.umass.edu/,https://www.cics.umass.edu/,COMPSCI 121 Introduction to Problem Solving with Computers,https://www.cics.umass.edu/ugrad-education/details-bs-requirements,Java,https://www.cics.umass.edu/ugrad-education/fall-15-course-descriptions,(413) 545-2744,info@cics.umass.edu,,
Massachusetts,2,Boston University,18017,http://www.bu.edu/,http://www.bu.edu/cs/,CAS CS 111: Introduction to Computer Science 1,http://www.bu.edu/cs/undergraduate/computer-science-major/,Python,http://www.cs.bu.edu/courses/cs111/,617-353-8919,cs@bu.edu,,
Massachusetts,3,University of Massachusetts-Lowell,12983,http://www.uml.edu/,http://www.uml.edu/Sciences/computer-science/Programs/Ugrad/default.aspx,COMP.1010 : Computing I,http://www.uml.edu/Catalog/Undergraduate/Sciences/Departments/Computer-Science/Computer-Science-Minor.aspx,C,http://www.uml.edu/Catalog/Undergraduate/Sciences/Departments/Computer-Science/Course-Listing.aspx,(978) 934-3620,dept@cs.uml.edu,,
Massachusetts,4,University of Massachusetts Boston,12700,https://www.umb.edu/,https://www.umb.edu/academics/csm/computer_science/ug/computer_science_bs,CS 108__An Introduction to Computation with Python,https://www.umb.edu/academics/course_catalog/courses/ugrd_CS_all,Python,https://www.umb.edu/academics/course_catalog/courses/ugrd_CS_all,617.287.5000,csm@umb.edu,,
Massachusetts,5,University of Vermont,10992,http://www.uvm.edu/,http://www.uvm.edu/~cems/cs/,CS 110 - Intermediate Programming,http://catalogue.uvm.edu/undergraduate/engineeringandmathematicalsciences/computerscience/computersciencebs/,Java,https://www.koofers.com/university-of-vermont-uvm/cs/110-computer-programming-ii-java/,(802) 656-3330,Computer.Science@uvm.edu,,
Massachusetts,6,Harvard University,10338,http://www.harvard.edu/,https://www.seas.harvard.edu/computer-science,CS 50: Introduction to Computer Science I,http://www.seas.harvard.edu/programs/computer-science/planning-degrees-courses ,C,https://courses.my.harvard.edu/psp/courses/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22IS_SCL_SUBJ_CAT%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22SearchText%22%3A%22CS%2050%3A%20Introduction%20to%20Computer%20Science%20I%22%2C%22DeepLink%22%3Afalse%7D,(617) 384-8130,parkes@seas.harvard.ed,,
Massachusetts,7,Boston College,9856,http://www.bc.edu/,http://www.bc.edu/schools/cas/cs.html,CSCI 1101Computer Science I,http://cslab1.bc.edu/~csacademics/programs.html#BSCS,Python,http://cslab1.bc.edu/~csacademics/classes.html,617-552-3975,sciore@bc.edu,,
Massachusetts,8,Bridgewater State University,9628,http://www.bridgew.edu/,http://www.bridgew.edu/academics/colleges-departments/department-computer-science,COMP 151 - Computer Science I/COMP 340 - Organization of Programming Languages,http://catalog.bridgew.edu/preview_program.php?catoid=9&poid=2252,Python,,508.531.100,jsantore@bridgew.edu,,Yes
Massachusetts,9,Salem State University,7600,http://www.salemstate.edu/,https://www.salemstate.edu/academics/schools/1168.php,CSC 201J:  Software Design and Programming I,https://www.salemstate.edu/academics/schools/1172.php,Java,http://cs.salemstate.edu/dept/uploads/2_CSC201JwithBoK1.pdf,978542600,bo.hatfield@salemstate.edu,,
Massachusetts,10,University of Massachusetts Dartmouth,7437,http://www.umassd.edu/,http://www.umassd.edu/engineering/cis/,CIS 180 Object-Oriented Programming I,http://www.umassd.edu/media/umassdartmouth/collegeofengineering/cisdept/resources/CIS_Curriculum_Class_2018.pdf,Java,http://www.cis.umassd.edu/~x2zhang/courses/CIS180/,508.999.8293,jbergandy@umassd.edu,,
Minnesota,1,University of Minnesota Twin Cities,34351,https://twin-cities.umn.edu/,https://cse.umn.edu/r/computer-science/,CSCI 1103 - Introduction to Computer Programming in Java,https://cse.umn.edu/wp-content/uploads/2014/10/CompSciEng4.pdf,Java,https://onestop2.umn.edu/pcas/viewCatalogProgram.do?programID=123,612-624-2006,cseinfo@umn.edu,,
Minnesota,2,St. Cloud State University,14377,http://www.stcloudstate.edu/,http://www.stcloudstate.edu/csit/,CSCI 430: Object Oriented Software Development,https://catalog.stcloudstate.edu/Catalog/ViewCatalog.aspx?pageid=viewcatalog&catalogid=7&chapterid=536&loaduseredits=False,Java,,320-308-4966,csit@stcloudstate.edu,,Yes
